Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK
Builder Floors,1,1,Semi-Furnished,390,Ready to Move,4,420,South,1,"₹ 17,00,000","Uttam Nagar, Delhi, Delhi",1 Bds - 1 Ba - 420 ft2
Builder Floors,2,2,Semi-Furnished,550,Ready to Move,4,580,East,1,"₹ 24,51,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 580 ft2
Apartments,2,2,Semi-Furnished,525,Ready to Move,4,425,-,1,"₹ 16,00,000","Paschim Vihar, Delhi, Delhi",2 Bds - 2 Ba - 425 ft2
Builder Floors,2,1,Furnished,900,Ready to Move,3,1080,East,0,"₹ 79,00,000","Tilak Nagar, Delhi, Delhi",2 Bds - 1 Ba - 1080 ft2
Apartments,2,2,Semi-Furnished,900,Ready to Move,4,900,West,0,"₹ 60,00,000","Virendra Nagar, Delhi, Delhi",2 Bds - 2 Ba - 900 ft2
Builder Floors,2,2,Semi-Furnished,650,Ready to Move,4,750,East,1,"₹ 40,00,000","Dwarka Mor, Delhi, Delhi",2 Bds - 2 Ba - 750 ft2
Builder Floors,3,2,Furnished,870,Ready to Move,4,800,North-East,1,"₹ 39,00,000","Uttam Nagar, Delhi, Delhi",3 Bds - 2 Ba - 800 ft2
Builder Floors,2,2,Semi-Furnished,450,Ready to Move,8,500,North-West,1,"₹ 26,00,000","Dwarka Mor, Delhi, Delhi",2 Bds - 2 Ba - 500 ft2
Builder Floors,2,2,Semi-Furnished,900,Ready to Move,4,1000,North-East,1,"₹ 1,00,00,000","Ramesh Nagar, Delhi, Delhi",2 Bds - 2 Ba - 1000 ft2
Apartments,2,1,Furnished,485,Ready to Move,-,585,East,-,"₹ 23,00,000","Basai Darapur, Delhi, Delhi",2 Bds - 1 Ba - 585 ft2
Builder Floors,2,1,Semi-Furnished,446,Ready to Move,4,446,South-West,0,"₹ 20,00,000","Uttam Nagar, Delhi, Delhi",2 Bds - 1 Ba - 446 ft2
Builder Floors,1,1,Semi-Furnished,400,Ready to Move,4,360,North,0,"₹ 14,99,999","Matiala, Delhi, Delhi",1 Bds - 1 Ba - 360 ft2
Builder Floors,3,2,Semi-Furnished,810,Ready to Move,8,900,North-East,1,"₹ 57,00,000","Dwarka Mor, Delhi, Delhi",3 Bds - 2 Ba - 900 ft2
Builder Floors,2,2,Semi-Furnished,560,Ready to Move,4,655,West,1,"₹ 36,21,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 655 ft2
Builder Floors,2,2,Semi-Furnished,550,Ready to Move,4,650,North-East,0,"₹ 32,00,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 650 ft2
Builder Floors,3,2,Furnished,1433,Ready to Move,-,1647,East,-,"₹ 2,25,00,000","Pitampura, Delhi, Delhi",3 Bds - 2 Ba - 1647 ft2
Builder Floors,2,1,Semi-Furnished,500,Ready to Move,4,540,North,1,"₹ 50,00,000","Hari Nagar, Delhi, Delhi",2 Bds - 1 Ba - 540 ft2
Apartments,3,2,Unfurnished,100,Ready to Move,04,100,North-East,1,"₹ 30,00,000","Milap Nagar, Delhi, Delhi",3 Bds - 2 Ba - 100 ft2
Builder Floors,2,2,Semi-Furnished,475,Ready to Move,4,495,East,0,"₹ 22,00,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 495 ft2
Builder Floors,3,2,Semi-Furnished,675,Ready to Move,4,782,South,1,"₹ 35,51,000","Uttam Nagar, Delhi, Delhi",3 Bds - 2 Ba - 782 ft2
Houses & Villas,1,1,Unfurnished,225,Ready to Move,3,230,East,0,"₹ 25,50,000","Nilothi, Delhi, Delhi",1 Bds - 1 Ba - 230 ft2
