Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK
Apartments,2,2,Unfurnished,100,New Launch,12,140,-,1,"₹ 32,50,000","Naroda Ring Road, Ahmedabad, Gujarat",2 Bds - 2 Ba - 140 ft2
Apartments,2,2,Semi-Furnished,738,Ready to Move,13,1210,-,1,"₹ 62,00,000","Gota, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1210 ft2
Houses & Villas,3,2,Semi-Furnished,900,Ready to Move,1,30,West,1,"₹ 58,00,000","Arbuda Nagar, Ahmedabad, Gujarat",3 Bds - 2 Ba - 30 ft2
Houses & Villas,4+,4+,Semi-Furnished,2340,Ready to Move,4,3600,East,1,"₹ 98,00,000","Shahpur, Ahmedabad, Gujarat",4+ Bds - 4+ Ba - 3600 ft2
Apartments,2,2,Semi-Furnished,100,Ready to Move,2,125,West,1,"₹ 50,00,000","Rambaug, Ahmedabad, Gujarat",2 Bds - 2 Ba - 125 ft2
Apartments,3,3,Semi-Furnished,1650,Ready to Move,10,2000,-,1,"₹ 1,45,00,000","Naranpura, Ahmedabad, Gujarat",3 Bds - 3 Ba - 2000 ft2
-,-,-,-,-,-,-,-,-,-,-,-,-
Apartments,2,2,Semi-Furnished,989,Ready to Move,3,1125,East,1,"₹ 60,00,000","Maninagar East, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1125 ft2
Apartments,3,3,Furnished,1100,Ready to Move,14,1650,North-East,1,"₹ 95,00,000","Naranpura, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1650 ft2
Apartments,2,2,Semi-Furnished,900,Ready to Move,10,1215,North,1,"₹ 56,00,000","Motera, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1215 ft2
Houses & Villas,2,1,Unfurnished,765,Ready to Move,1,900,West,1,"₹ 1,50,00,000","Paldi, Ahmedabad, Gujarat",2 Bds - 1 Ba - 900 ft2
Apartments,1,1,Semi-Furnished,100,Ready to Move,7,80,-,1,"₹ 33,00,000","CP Nagar, Ahmedabad, Gujarat",1 Bds - 1 Ba - 80 ft2
Apartments,3,2,Furnished,205,Ready to Move,10,1845,North-East,1,"₹ 1,10,00,000","Jagatpur, Ahmedabad, Gujarat",3 Bds - 2 Ba - 1845 ft2
Apartments,2,2,Semi-Furnished,1143,Ready to Move,5,1224,South-East,1,"₹ 69,00,000","New Ranip, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1224 ft2
Apartments,1,1,Furnished,559,Ready to Move,5,648,East,1,"₹ 35,00,000","Nirnay Nagar, Ahmedabad, Gujarat",1 Bds - 1 Ba - 648 ft2
Apartments,2,2,Semi-Furnished,909,Ready to Move,7,1170,East,1,"₹ 75,00,000","Nava Vadaj, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1170 ft2
Apartments,1,1,Furnished,529,Ready to Move,5,765,-,-,"₹ 25,51,000","Nikol - Naroda Road, Ahmedabad, Gujarat",1 Bds - 1 Ba - 765 ft2
Apartments,2,2,Furnished,90,Ready to Move,5,105,East,1,"₹ 60,00,000","Karmchari Nagar, Ahmedabad, Gujarat",2 Bds - 2 Ba - 105 ft2
Apartments,3,3,Unfurnished,1400,Ready to Move,4,2700,East,1,"₹ 75,00,000","Ambavadi, Ahmedabad, Gujarat",3 Bds - 3 Ba - 2700 ft2
Builder Floors,2,2,Furnished,780,Ready to Move,7,1188,South-East,1,"₹ 70,00,000","Nava Vadaj, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1188 ft2
Houses & Villas,4,4+,Furnished,2000,Ready to Move,2,3500,West,2,"₹ 1,20,00,000","Bapu Nagar, Ahmedabad, Gujarat",4 Bds - 4+ Ba - 3500 ft2
Apartments,1,1,Unfurnished,675,Ready to Move,5,675,East,0,"₹ 35,00,000","Nava Vadaj, Ahmedabad, Gujarat",1 Bds - 1 Ba - 675 ft2
Apartments,3,3,Furnished,1240,Ready to Move,4,1540,East,1,"₹ 1,10,00,000","Usmanpura, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1540 ft2
Builder Floors,1,1,Semi-Furnished,840,Ready to Move,7,840,South,0,"₹ 21,00,000","132 Feet Ring Road, Ahmedabad, Gujarat",1 Bds - 1 Ba - 840 ft2
Apartments,2,1,Furnished,100,Ready to Move,2,100,-,0,"₹ 50,00,000","Paldi, Ahmedabad, Gujarat",2 Bds - 1 Ba - 100 ft2
Apartments,3,3,Unfurnished,1150,Under Construction,14,2286,West,2,"₹ 97,00,000","Pritam Nagar, Ahmedabad, Gujarat",3 Bds - 3 Ba - 2286 ft2
Apartments,3,2,Furnished,1170,Ready to Move,8,1350,East,1,"₹ 80,00,000","Naranpura, Ahmedabad, Gujarat",3 Bds - 2 Ba - 1350 ft2
Apartments,4+,4+,Semi-Furnished,2340,Ready to Move,2,2925,East,1,"₹ 2,10,00,000","Nava Vadaj, Ahmedabad, Gujarat",4+ Bds - 4+ Ba - 2925 ft2
Houses & Villas,4+,4+,Unfurnished,400,Ready to Move,-,450,East,-,"₹ 2,41,00,000","Navrangpura, Ahmedabad, Gujarat",4+ Bds - 4+ Ba - 450 ft2
Apartments,2,2,Semi-Furnished,800,Ready to Move,7,1089,East,1,"₹ 44,00,000","Chandkheda, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1089 ft2
Apartments,3,2,Semi-Furnished,1170,Ready to Move,8,1647,East,1,"₹ 80,00,000","Ellis Bridge, Ahmedabad, Gujarat",3 Bds - 2 Ba - 1647 ft2
Houses & Villas,2,1,Unfurnished,350,Ready to Move,1,350,East,2,"₹ 2,25,00,000","Ranip, Ahmedabad, Gujarat",2 Bds - 1 Ba - 350 ft2
Houses & Villas,2,2,Unfurnished,60,Ready to Move,2,60,East,1,"₹ 35,00,000","Bapu Nagar, Ahmedabad, Gujarat",2 Bds - 2 Ba - 60 ft2
Apartments,3,3,Furnished,1290,Ready to Move,7,1890,-,-,"₹ 1,32,00,000","Navrangpura, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1890 ft2
Apartments,2,3,Furnished,880,Ready to Move,7,975,West,1,"₹ 67,00,000","Chandkheda, Ahmedabad, Gujarat",2 Bds - 3 Ba - 975 ft2
Apartments,4,4+,Furnished,2285,Ready to Move,14,2940,East,1,"₹ 4,75,00,000","Ellis Bridge, Ahmedabad, Gujarat",4 Bds - 4+ Ba - 2940 ft2
Builder Floors,1,1,Unfurnished,300,Ready to Move,5,300,North,1,"₹ 18,50,000","Ranip, Ahmedabad, Gujarat",1 Bds - 1 Ba - 300 ft2
Apartments,4,4,Furnished,285,New Launch,5,285,East,2,"₹ 1,30,00,000","Paldi, Ahmedabad, Gujarat",4 Bds - 4 Ba - 285 ft2
Apartments,2,2,Furnished,675,Ready to Move,10,990,-,0,"₹ 68,00,000","Karmchari Nagar, Ahmedabad, Gujarat",2 Bds - 2 Ba - 990 ft2
Houses & Villas,2,2,Semi-Furnished,535,Ready to Move,1,4815,North-East,2,"₹ 7,00,00,000","Satellite, Ahmedabad, Gujarat",2 Bds - 2 Ba - 4815 ft2
Apartments,3,3,Furnished,1160,Ready to Move,12,1690,North-East,1,"₹ 85,00,000","Motera, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1690 ft2
Apartments,3,2,Unfurnished,750,New Launch,22,750,South-East,1,"₹ 45,00,000","132 Feet Ring Road, Ahmedabad, Gujarat",3 Bds - 2 Ba - 750 ft2
Houses & Villas,1,1,Semi-Furnished,500,Ready to Move,1,800,-,-,"₹ 37,00,000","D Colony, Ahmedabad, Gujarat",1 Bds - 1 Ba - 800 ft2
Apartments,3,3,Unfurnished,1382,Ready to Move,8,2304,North,1,"₹ 1,21,00,000","Motera, Ahmedabad, Gujarat",3 Bds - 3 Ba - 2304 ft2
Houses & Villas,4,4,Unfurnished,1700,Ready to Move,2,1700,East,2,"₹ 1,50,00,000","Ranip, Ahmedabad, Gujarat",4 Bds - 4 Ba - 1700 ft2
Apartments,2,2,Semi-Furnished,855,Ready to Move,4,1215,East,1,"₹ 58,00,000","Shahibag, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1215 ft2
Houses & Villas,4,4,Semi-Furnished,900,Ready to Move,3,1000,North,-,"₹ 1,20,00,000","Old Vadaj, Ahmedabad, Gujarat",4 Bds - 4 Ba - 1000 ft2
Apartments,2,2,Semi-Furnished,990,Ready to Move,4,1080,East,1,"₹ 62,00,000","Paldi, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1080 ft2
Apartments,3,3,Furnished,200,Ready to Move,12,1980,North-East,1,"₹ 1,35,00,000","Gulabai Tekra, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1980 ft2
Apartments,1,1,Semi-Furnished,23,Ready to Move,5,78,North,0,"₹ 33,00,000","Nirnay Nagar, Ahmedabad, Gujarat",1 Bds - 1 Ba - 78 ft2
Apartments,2,2,Semi-Furnished,873,Ready to Move,4,1035,East,1,"₹ 60,00,000","Paldi, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1035 ft2
Apartments,3,3,Unfurnished,1200,Under Construction,14,2655,East,2,"₹ 1,45,00,000","Gota, Ahmedabad, Gujarat",3 Bds - 3 Ba - 2655 ft2
Apartments,2,2,Furnished,133,Ready to Move,10,1200,North-East,1,"₹ 43,00,000","Chandkheda, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1200 ft2
Apartments,2,2,Furnished,1200,New Launch,2,1200,East,2,"₹ 57,00,000","Nirnay Nagar, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1200 ft2
Houses & Villas,4,3,Semi-Furnished,1462,Ready to Move,3,2250,East,1,"₹ 2,70,00,000","Nava Vadaj, Ahmedabad, Gujarat",4 Bds - 3 Ba - 2250 ft2
Apartments,2,2,Furnished,786,Ready to Move,5,945,North-East,1,"₹ 60,00,000","Narayan Nagar, Ahmedabad, Gujarat",2 Bds - 2 Ba - 945 ft2
Houses & Villas,2,1,Semi-Furnished,42,Under Construction,1,27,East,3+,"₹ 21,50,000","Kalpi Nagar, Ahmedabad, Gujarat",2 Bds - 1 Ba - 27 ft2
Apartments,1,1,Semi-Furnished,000,Ready to Move,7,000,East,1,"₹ 19,50,000","Vatva Ropda Road, Ahmedabad, Gujarat",1 Bds - 1 Ba - 000 ft2
Apartments,2,1,Semi-Furnished,915,Ready to Move,4,85,South-East,0,"₹ 48,00,000","Kankaria, Ahmedabad, Gujarat",2 Bds - 1 Ba - 85 ft2
Houses & Villas,4,3,Furnished,1035,Ready to Move,1,2250,North,1,"₹ 2,00,00,000","Paldi, Ahmedabad, Gujarat",4 Bds - 3 Ba - 2250 ft2
Apartments,2,2,Furnished,1500,Ready to Move,5,1700,West,2,"₹ 43,99,999","D Colony, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1700 ft2
Apartments,1,1,Semi-Furnished,380,Ready to Move,4,585,-,1,"₹ 22,00,000","Ghodasar, Ahmedabad, Gujarat",1 Bds - 1 Ba - 585 ft2
Apartments,3,2,Semi-Furnished,1125,Ready to Move,10,1404,East,1,"₹ 64,00,000","Memnagar, Ahmedabad, Gujarat",3 Bds - 2 Ba - 1404 ft2
Apartments,1,1,Furnished,650,Ready to Move,5,700,East,1,"₹ 22,00,000","Rakhiyal, Ahmedabad, Gujarat",1 Bds - 1 Ba - 700 ft2
Apartments,2,2,Furnished,900,Ready to Move,5,1000,East,-,"₹ 47,00,000","Nirnay Nagar, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1000 ft2
Apartments,2,2,Semi-Furnished,1062,Ready to Move,5,1575,East,1,"₹ 55,00,000","Kankaria, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1575 ft2
Apartments,1,3,Semi-Furnished,1000,Ready to Move,0,1000,-,1,"₹ 30,00,000","Saraspur, Ahmedabad, Gujarat",1 Bds - 3 Ba - 1000 ft2
Apartments,2,2,Furnished,775,Ready to Move,12,1215,North,1,"₹ 72,00,000","Navrangpura, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1215 ft2
